die;Stelle;en;;;;nomen;;állás, hely
das;Unternehmen;-;;;;nomen;;vállalkozás
;gründen;;gründete;h. gegründet;gründe|gründest|gründet|gründen|gründet|gründen;verben;;alapít
;haben;;hatte;h. gehabt;habe|hast|hat|haben|habt|haben;verben;;van, birtokol
;sein;;war;i. gewesen;bin|bist|ist|sind|seid|sind;verben;;van, létezik
;beruflich;;;;;adjektive;;szakmai
;verdienen;;;;;verben;;keres (pénzt)
;materiell;;;;;adjektive;;anyagi
die;Sicherheit;en;;;;nomen;;biztonság
das;Haus;Häuser;;;;nomen;;ház
das;Eigenheim;e;;;;nomen;;családi ház
das;Auto;s;;;;nomen;;autó
das;Wort;Wörter;;;;nomen;;szó
die;Existenz;en;;;;nomen;;létezés
;aufbauen;;;;;verben;;épít
die;Welt;en;;;;nomen;;világ
;kennenlernen;;;;;verben;;megismerni
;viel;;;;;adjektive;;sok
;reisen;;;;;verben;;utazik
;leben;;;;;verben;;él
;sprachen;;;;;verben;;beszél
;weiterbilden;;;;;verben;;továbbképez
;sammeln;;;;;verben;;gyûjteni
der;Sport;s;;;;nomen;;sport
der;Künstler;-;;;;nomen;;mûvész
die;Karriere;n;;;;nomen;;karrier
;schöpferisch;;;;;adjektive;;alkotó, teremtõ
;künstlerisch;;;;;adjektive;;mûvészi
die;Tätigkeit;en;;;;nomen;;tevékenység
;ausüben;;;;;verben;;begyakorol, folytat
;setzen;;;;;verben;;ül
der;Naturschutz;-;;;;nomen;;természetvédelem
der;Umweltschutz;-;;;;nomen;;környezetvédelem
das;Tier;e;;;;nomen;;állat
;werden;;;;;verben;;lesz
der;Single;s;;;;nomen;;egyedül élõ, szingli
;sonstig;;;;;adjektive;;egyébként, különben
das;Familienmitglied;er;;;;nomen;;családtag
der;Junggeselle;n;;;;nomen;;agglegény
das;Einzelkind;er;;;;nomen;;egyke
der;Zwilling;e;;;;nomen;;ikrek
der;Drilling;e;;;;nomen;;hármasikrek
der;Säugling;e;;;;nomen;;csecsemõ
das;Baby;s;;;;nomen;;bébi
das;Kleinkind;er;;;;nomen;;kisgyerek
der;Waise;n;;;;nomen;;árva
die;Pflegeeltern;-;;;;nomen;;nevelõszülõk
die;Stiefeltern;-;;;;nomen;;mostohaszülõk
der;Stiefvater;Stiefväter;;;;nomen;;mostohaapa
die;Stiefmutter;Stiefmütter;;;;nomen;;mostohaanya
der;Pflegevater;Pflegeväter;;;;nomen;;nevelõapa
die;Pflegemutter;Pflegemütter;;;;nomen;;nevelõanya
;kinderreich;;;;;adjektive;;sokgyerekes
;kinderlos;;;;;adjektive;;gyermektelen
;stammen;;;;;verben;;származni
;alleinstechend;;;;;adjektive;;egyedülálló
;ledig;;;;;adjektive;;hajadon
;verwitwet;;;;;adjektive;;özvegy
;geschieden;;;;;adjektive;;elvált
der;Lebensgefährte;en;;;;nomen;;életveszély
die;Lebenspartnerin;-;;;;nomen;;élettárs (nõ)
der;Lebenspartner;-;;;;nomen;;élettárs (férfi)
der;Partner;Partner;;;;nomen;;partner
die;Partnerin;nen;;;;nomen;;partnernõ
der;Freund;e;;;;nomen;;barát
die;Freundin;nen;;;;nomen;;barátnõ
;heiraten;;;;;verben;;házasodni
;schließen;;;;;verben;;köt, bezár
der;Mann;Männer;;;;nomen;;férfi, ember
die;Frau;en;;;;nomen;;nõ
die;Ehe;en;;;;nomen;;házasság
;erwarten;;;;;verben;;elvár, megvár
;bringen;;;;;verben;;hoz, visz
;bekommen;;;;;verben;;kap
;folgsam;;;;;adjektive;;engedelmes, szófogadó
;verzogen;;;;;adjektive;;elkényeztetett
;erziehen;;;;;verben;;felnevel
;versorgen;;;;;verben;;ellát, gondoskodik
;verwöhnen;;;;;verben;;elkényeztet
;kümmern;;;;;verben;;törõdikl, gondoskodik
;sorgen;;;;;verben;;gondoskodik
die;Sorge;en;;;;nomen;;gondoskodás, aggódás
